alphas,gammas,2014v2:ESP_Jake:Potts_Point,2014v2:ESP_Jake:Basin_Point,2014v2:ESP_Jake:Head_Beach,2014v2:ESP_Don:York_River,2014v2:ESP_Don:Ogunquit,2014v2:ESP_Dennis:Christmas_Cove,2017:ESP3_Roman:Cutler_Harbor,2017:ESP3_Roman:Lubec_Channel,2017:ESP3_Roman:Gove_Point,2017:ESP3_Roman:Gleason_Cove,2019:ESP_Roman:Lubec_Channel,2019:ESP_Roman:Gove_Point,2019:ESP_Roman:Gleason_Cove,,method1_mean,method2_mean,method3_cumu
0.0,0.1,62.938156780428294,64.5250923369115,74.2696768674954,62.31820002241568,86.06400725757945,35.15105805757191,35.98355186032246,80.86556545029025,46.15751655459104,146.20671074394875,114.01047555219633,140.4616192251663,117.26074278894924,,,82.01633642291281,91.76343104829851
0.001,0.1,59.659726553371634,61.185055763580586,70.9056055230729,56.56744338408263,80.47234152621749,33.34296718160314,31.55681020684271,76.2624307108432,41.54867020148934,141.5762107353464,108.50027311114104,135.23931952586335,112.31470158015668,,,77.62550430797009,87.49022507781325
0.002,0.1,56.41938403201794,57.87509900744809,67.56491260860932,50.84802245423475,74.89536590709666,31.551838287093137,27.229728101016295,71.67486697815038,36.96859765551459,136.95201415777757,103.006883965144,130.054099380772,107.43970742758651,,,73.26773230480471,83.27560017743785
0.003,0.1,53.22408613875402,54.6006927618626,64.251244856799,45.17184148912587,69.33662521474355,29.780732009657328,23.058479363528463,67.1060677645721,32.42949253067206,132.33478179845022,97.53314909653687,124.91057655431376,102.64588361290154,,,68.95258870707059,79.12891747012631
0.004,0.1,50.08245525813044,51.36863579707613,60.96900888247743,39.5575186159148,63.80088585707828,28.033443593000154,19.1451927318496,62.560144352371395,27.951320452832256,127.72526892315847,92.0825735447709,119.81412126281542,97.94514925550668,,,64.6950552713063,75.06143796525035
0.005,0.1,47.00525324560764,48.18745029417856,57.72356668812854,34.03567883994035,58.29470091090836,26.314717958730885,15.68416064057854,58.042471932492305,23.568839606466206,123.12434253802647,86.65952733560917,114.77100383935141,93.35156802194503,,,60.520252450151034,71.0867586345283
0.006,0.1,44.00599810603913,45.067910054485004,54.521489221315086,28.6598277848989,52.827312543823346,24.630535189636575,13.040588228208359,53.56019968929518,19.347186922448152,118.5330025158724,81.26952168492474,109.78857472463325,88.88175510806695,,,56.47183859797285,67.22134282541326
0.007,0.1,41.101757073848724,42.02374562230636,51.37088622211098,23.530239326066056,47.41214427843923,22.988488578482865,11.778393088800653,49.12301893775058,15.419034966799133,113.95240761613049,75.91959418505816,104.87548382392593,84.55534092821776,,,52.61927189599515,63.48515183627811
0.008,0.1,38.3141426686096,39.07257867355848,48.28183555131381,18.84905133796422,42.06936626243002,21.39828057187981,12.329383693004893,44.744346508116905,12.074319561822415,109.38390774550025,70.61885411852543,100.04194732211548,80.39547945840054,,,49.04411488255706,59.902370324005744
0.009,0.1,35.67050813946179,36.23713759250948,45.26694009746065,15.04092581784311,36.830495632446244,19.872359614738276,14.488147460002265,40.44319047004915,9.921759044294905,104.82908423676068,65.37926645554728,95.30007077731639,76.42937069391107,,,45.82378892556471,56.50218873219748
0.01,0.1,33.20526015630941,33.54677937178846,42.342043124936836,12.903499606381619,31.747014308545673,18.426703524961056,17.67508663273288,36.24715605993553,9.782789390735921,100.28980050951357,60.21679630285493,90.66423719297646,72.6887366890541,,,43.056607913132794,53.31955163876473
0.011,0.1,30.961039740178485,31.039252570968614,39.52712859321905,13.270240926347373,26.907138544419272,17.081703365030187,21.436429604877365,32.19736861217661,11.729202448263488,95.76826628187753,55.15310309634265,86.15156685092434,69.21014613260266,,,40.802506674402125,50.395691648437825
