Date,ESP Jake,TOX Potts Point,TOX Basin Point,ESP Don,TOX York River,ESP Dennis,TOX Head Beach,TOX Christmas Cove,TOX Clyde Port
03/31/2014,,0.156856192252365,0.120378008007629,,,,0.755868931826507,,
04/07/2014,,0.293571333020223,0.404555617454698,,,,0,,
04/14/2014,,9.94041416690941,6.474353196279,,,,9.24286937531058,,
04/21/2014,,7.49842444740468,9.05001570106893,,,,8.60144358791188,,
04/28/2014,,8.77788320363127,13.1623211748526,,,,7.04404158898451,,
05/02/2014,0,,,0,,,,,
05/03/2014,,,,141,,0,,,
05/04/2014,,,,280,,,,,
05/05/2014,43,0.616026260533721,6.06309149414788,359,9.6,0,5.71967077467374,1.54654976767075,7.97714770427595
05/06/2014,0,,,0,,117,,,
05/07/2014,0,,,337,,150,,,
05/08/2014,,,,398,,0,,,
05/09/2014,0,,,0,,141,,,
05/12/2014,0,18.6586405689005,8.42388872642554,0,8,0,1.00851562696098,24.7726290258798,0.959807869065896
05/13/2014,,,,422,,158,,,
05/14/2014,0,,,581,,236,,,
05/15/2014,,,,0,,0,,,
05/16/2014,216,,,0,,0,,,
05/19/2014,262,9.3973478919432,22.1207161724008,0,9.8,0,9.37830589763495,19.1126020983438,17.2821211181424
05/20/2014,318,,,0,,262,,,
05/21/2014,1679,,,1662,,0,,,
05/22/2014,904,,,1512,,0,,,
05/23/2014,425,,,1488,,327,,,
05/26/2014,126,104.6,106.8,0,33,314,85.4,30.6,16.2
05/27/2014,,,,822,,395,,,
05/28/2014,499,,,1024,,,,,
05/29/2014,,,,,,324,,,
05/30/2014,392,,,575,,261,,,
06/02/2014,1131,97.3,73.4411750642849,1112,88.3,341,106.704098604082,58.0060983988365,32.3413105792733
06/03/2014,,,,895,,277,,,
06/04/2014,392,,,446,,540,,,
06/05/2014,,,,2189,,701,,,
06/06/2014,298,,,1729,,0,,,
06/09/2014,1050,90.7484389736765,119.950616689898,1139,118.9,407,151.45130913123,42.0409921167735,63.5060575444355
06/10/2014,,,,801,,419,,,
06/11/2014,772,,,611,,373,,,
06/12/2014,,,,0,,1470,,,
06/13/2014,479,,,945,,766,,,
06/16/2014,0,36.2873695480532,34.0978847807369,0,56.4,,35.6668742402665,38.4221907458691,57.5299902704806
06/17/2014,236,,,0,,,,,
06/18/2014,0,,,,,,,,
06/19/2014,0,,,,,,,,
06/20/2014,0,,,,,,,,
06/23/2014,,34.0901017621769,32.3500317092781,,,,33.7957965523464,4.29078650272013,11.2542557936525
06/30/2014,,38.6,10.8992322377277,,,,27.7,6,33.4
