Date,ESP Jake,TOX Bass Harbor,TOX Gleason Cove,ESP Don,TOX Lumbos Hole,TOX Potts Point,TOX Basin Point,ESP Dennis,TOX Head Beach,TOX Christmas Cove,TOX Clyde Port
04/07/2015,,,,,0.140827956089812,0,,,0,,
04/13/2015,,,0,,0.776565586438108,0.2253247297437,0.168993547307775,,0.249466665073382,,
04/14/2015,,,,,,,,,,0.104793090966452,0
04/15/2015,,0,,,,,,,,,
04/20/2015,,,7.86944256211979,,,,,,,,
04/21/2015,,,,,5.98778799234146,0.632082918095942,0.526104943804407,,0.641322002920128,,
04/22/2015,,0,,,,,,,,0.223716977762835,0.141687419249796
04/26/2015,,,1.23098390304534,,,,,,,,
04/27/2015,,,,,10.2607338724738,9.93491261128152,0.888499530847424,,0,,
04/29/2015,,3.430417910083,,,,,,,,0.421637691709241,1.65989651444356
05/03/2015,,,4.39063780300491,,,4.98263241246895,1.86375132252762,,,,
05/04/2015,,,,,33.5413811582314,,,,1.86109829573399,,
05/05/2015,,0.184379211399901,,,,,,,,,0.196618763483736
05/06/2015,,,,,,,,,,1.51105672875896,
05/07/2015,,,,,,,,69,,,
05/08/2015,,,,0,,,,,,,
05/09/2015,,,,,,,,69,,,
05/10/2015,,,9.50185406216915,,,2.06044817056868,14.1094135869295,,,,
05/11/2015,,,,0,21.4871888163659,,,74,,,
05/12/2015,,,,60,,,,75,2.68768752262369,,
05/13/2015,,0.334315847472056,,0,,,,69,,1.47024938966228,1.31099175530047
05/14/2015,,,,10,,,,84,,,
05/15/2015,,,,0,,,,39,,,
05/17/2015,,,11.2766066253136,,,2.25404882251434,4.82344556930463,,,,
05/18/2015,,,,0,184.126822502869,,,51,,,
05/19/2015,,2.46810588925781,,0,,,,0,,,
05/20/2015,,,,0,,,,0,7.79368157812066,7.76148929021557,15.3192920035387
05/21/2015,,,,35,,1.81690416999682,,48,,,
05/22/2015,,,,0,,,,38,,,
05/24/2015,,,15.627513570116,,447.249007832172,6.09519686207189,1.56544372650536,,,,
05/25/2015,,0.354336682502186,,0,,,,0,,,
05/26/2015,,,,0,,,,0,22.2330558236431,,2.56277793414386
05/27/2015,,,,0,,,,0,,1.28339192887309,
05/28/2015,,,,0,,,,33,,,
05/29/2015,,,,145,,,,,,,
05/31/2015,,,10.6434044360857,,,2.07613983991037,11.9452936418783,,,,
06/01/2015,,,,26,185.804730094585,,,27,,,
06/02/2015,,15.2923934826688,,0,,,,,1.06892409747846,,
06/03/2015,,,,0,,,,0,,2.40273168749688,2.41541855575284
06/04/2015,,,,0,,,,,,,
06/05/2015,,,,0,,,,77,,,
06/07/2015,,,8.99857992274687,,98.5963729003024,5.96929225782389,5.56866528034775,,,,
06/08/2015,,,,,,,,0,,,
06/09/2015,,,,,,,,0,3.64466058558789,,
06/10/2015,,18.8659990133386,,,,,,71,,3.36163734603892,3.41737293652981
06/11/2015,,,,,,,,0,,3.36163734603892,
06/12/2015,,,,,,,,0,,,
06/14/2015,,,8.74065711992748,,,0.113570142482462,0.8302855858559,,,,
06/15/2015,,,,,19.3089448949938,,,0,1.19907702602234,,
06/16/2015,,6.79686966734835,,,,,,0,,0.478732052098647,
06/17/2015,68,,,,,,,,,,1.7358352160366
06/18/2015,141,,,,,,,,,,
06/19/2015,70,,,,,,,,,,
06/20/2015,0,,,,,,,,,,
06/21/2015,,,,,,0.45382447370379,0.209457449401749,,,,
06/22/2015,0,,,,9.33241279469773,,,,,,
06/23/2015,79,,,,,,,,0.802920226823192,,0.469014138469571
06/24/2015,100,,5.31880410086987,,,,,,,0.306497757392394,
06/25/2015,125,,,,,,,,,,
06/26/2015,308,,,,,,,,,,
06/27/2015,626,,,,,,,,,,
06/28/2015,304,,12.3271597510209,,,,,,,,
06/29/2015,256,1.48150202882701,,,8.85675373367547,0.243888812197634,0.25345307934264,,,,
06/30/2015,392,,,,,,,,0.775768335094872,,
07/01/2015,289,,,,,,,,,0.635189014016289,0.475075626838172
07/02/2015,428,,,,,,,,,,
07/05/2015,,,31.8844390116636,,,,,,,,
07/06/2015,290,1.1081493405097,,,0.891308299896235,0,0.228332976535918,,,0.573369474412416,
07/07/2015,344,,,,,,,,1.70302791159239,,
07/08/2015,360,,161.030224826172,,,,,,,,0.54292507754096
07/09/2015,330,,,,,,,,,,
07/10/2015,2432,,,,,,,,,,
07/11/2015,545,,,,,,,,,,
07/13/2015,356,,424.007356983339,,6.26948882113331,0,0,,,0,
07/14/2015,2170,1.86912881396417,,,,,,,0.747651525585667,,
07/15/2015,1501,,128.958524438404,,,,,,,,0.433387663284778
07/16/2015,294,,,,0.253145456715169,0,0,,,,
07/17/2015,1179,,,,,,,,,,
07/18/2015,1368,,,,,,,,,,
07/19/2015,,,283.168518877991,,,,,,,,
07/20/2015,1211,0.490559388368816,,,0,0,0,,,0,
07/21/2015,1285,,,,,,,,0.225635058439179,,
07/22/2015,330,,,,,,,,,,0.232147018253137
07/23/2015,820,,,,,,,,,,
07/24/2015,409,,,,,,,,,,
07/25/2015,1051,,,,,,,,,,
07/26/2015,,,338.208724318877,,,,,,,,
07/27/2015,383,,,,0,0,0,,,,0
07/28/2015,952,,,,,,,,0,,
07/29/2015,798,,,,,,,,,0,
07/30/2015,199,,,,,,,,,,
07/31/2015,226,,,,,,,,,,
08/02/2015,,,137.176221953076,,,,,,,,
08/03/2015,,3.46285617484046,,,1.50596226365455,0,0.992079405914608,,,0.312536942719029,
08/04/2015,,,,,,,,,0.205365165827484,,
08/05/2015,,,,,,,,,,,0
08/10/2015,,0,43.4273045431615,,0,0,0,,,,
08/11/2015,,,,,,,,,0,0,
08/12/2015,,,,,,,,,,,0
08/16/2015,,,50.168448040203,,,,,,,,
08/17/2015,,0.419187802159956,,,0,0,0,,,0,
08/18/2015,,,,,,,,,0.198979546301173,,
08/19/2015,,,,,,,,,,,0
08/23/2015,,,28.5544112881462,,,,,,,,
08/24/2015,,,,,0,0,0,,,,
08/25/2015,,,,,,,,,0,,
08/26/2015,,1.24558605456502,,,,,,,,,0
08/27/2015,,,,,,,,,,0,
08/31/2015,,,43.0609417831857,,,,,,,,
09/01/2015,,,,,,,,,2.02817219885471,,
09/02/2015,,0.482809708078851,,,0.380327478287907,0.513442095688674,0.424699017421496,,,,
09/03/2015,,,,,,,,,,0,0
09/06/2015,,,10.8866111064359,,,,,,,,
09/07/2015,,,,,0,0,0,,,,
09/08/2015,,,,,,,,,0,,
09/09/2015,,0.234704194174865,,,,,,,,,
