Date,ESP Jake,TOX Bass Harbor,TOX Cutler,TOX Lubec Channel,TOX Gove Point,TOX Gleason Cove,ESP Don,TOX Lumbos Hole,TOX Potts Point,TOX Basin Point,ESP Dennis,TOX Head Beach,TOX Christmas Cove,TOX Port Clyde
4/7/15,,,,,,,,0.140827956,0,,,0,,
4/13/15,,,,,,0,,0.776565586,0.22532473,0.168993547,,0.249466665,,
4/14/15,,,,,,,,,,,,,0.104793091,0
4/15/15,,0,0.0,0.1,0.1,,,,,,,,,
4/20/15,,,,,,7.869442562,,,,,,,,
4/21/15,,,,,,,,5.987787992,0.632082918,0.526104944,,0.641322003,,
4/22/15,,0,0.3,0.2,1.1,,,,,,,,0.223716978,0.141687419
4/26/15,,,,,,1.230983903,,,,,,,,
4/27/15,,,,,,,,10.26073387,9.934912611,0.888499531,,0,,
4/29/15,,3.43041791,1.3,1.4,1.2,,,,,,,,0.421637692,1.659896514
5/3/15,,,,,,4.390637803,,,4.982632412,1.863751323,,,,
5/4/15,,,,,,,,33.54138116,,,,1.861098296,,
5/5/15,,0.184379211,0.9,1.0,0.5,,,,,,,,,0.196618763
5/6/15,,,,,,,,,,,,,1.511056729,
5/7/15,,,,,,,,,,,69,,,
5/8/15,,,,,,,0,,,,,,,
5/9/15,,,,,,,,,,,69,,,
5/10/15,,,,,,9.501854062,,,2.060448171,14.10941359,,,,
5/11/15,,,,,,,0,21.48718882,,,74,,,
5/12/15,,,,,,,60,,,,75,2.687687523,,
5/13/15,,0.334315847,0.7,1.0,0.6,,0,,,,69,,1.47024939,1.310991755
5/14/15,,,,,,,10,,,,84,,,
5/15/15,,,,,,,0,,,,39,,,
5/17/15,,,,,,11.27660663,,,2.254048823,4.823445569,,,,
5/18/15,,,,,,,0,184.1268225,,,51,,,
5/19/15,,2.468105889,1.5,4.9,1.2,,0,,,,0,,,
5/20/15,,,,,,,0,,,,0,7.793681578,7.76148929,15.319292
5/21/15,,,,,,,35,,1.81690417,,48,,,
5/22/15,,,,,,,0,,,,38,,,
5/24/15,,,,,,15.62751357,,447.2490078,6.095196862,1.565443727,,,,
5/25/15,,0.354336683,0.2,2.0,1.2,,0,,,,0,,,
5/26/15,,,,,,,0,,,,0,22.23305582,,2.562777934
5/27/15,,,,,,,0,,,,0,,1.283391929,
5/28/15,,,,,,,0,,,,33,,,
5/29/15,,,,,,,145,,,,,,,
5/31/15,,,,,,10.64340444,,,2.07613984,11.94529364,,,,
6/1/15,,,,,,,26,185.8047301,,,27,,,
6/2/15,,15.29239348,1.8,2.5,1.9,,0,,,,,1.068924097,,
6/3/15,,,,,,,0,,,,0,,2.402731687,2.415418556
6/4/15,,,,,,,0,,,,,,,
6/5/15,,,,,,,0,,,,77,,,
6/7/15,,,,,,8.998579923,,98.5963729,5.969292258,5.56866528,,,,
6/8/15,,,,,,,,,,,0,,,
6/9/15,,,,,,,,,,,0,3.644660586,,
6/10/15,,18.86599901,2.0,3.1,1.7,,,,,,71,,3.361637346,3.417372937
6/11/15,,,,,,,,,,,0,,3.361637346,
6/12/15,,,,,,,,,,,0,,,
6/14/15,,,,,,8.74065712,,,0.113570142,0.830285586,,,,
6/15/15,,,,,,,,19.30894489,,,0,1.199077026,,
6/16/15,,6.796869667,0.3,6.0,0.8,,,,,,0,,0.478732052,
6/17/15,68,,,,,,,,,,,,,1.735835216
6/18/15,141,,,,,,,,,,,,,
6/19/15,70,,,,,,,,,,,,,
6/20/15,0,,,,,,,,,,,,,
6/21/15,,,,,,,,,0.453824474,0.209457449,,,,
6/22/15,0,,,,,,,9.332412795,,,,,,
6/23/15,79,,0.1,0.4,0.5,,,,,,,0.802920227,,0.469014138
6/24/15,100,,,,,5.318804101,,,,,,,0.306497757,
6/25/15,125,,,,,,,,,,,,,
6/26/15,308,,,,,,,,,,,,,
6/27/15,626,,,,,,,,,,,,,
6/28/15,304,,,,,12.32715975,,,,,,,,
6/29/15,256,1.481502029,5.6,1.3,0.7,,,8.856753734,0.243888812,0.253453079,,,,
6/30/15,392,,,,,,,,,,,0.775768335,,
7/1/15,289,,,,,,,,,,,,0.635189014,0.475075627
7/2/15,428,,,,,,,,,,,,,
7/5/15,,,,,,31.88443901,,,,,,,,
