Date,ESP Jake,TOX Lumbo's Hole,TOX Bowdoin Wetlab,ESP Don,TOX Potts Point,TOX Basin Point,ESP Dennis,TOX Ogunquit River
03/14/2016,,,,,,,,0
03/15/2016,,0,,,0,0,,
03/28/2016,,,,,,,,0.403231807460134
03/29/2016,,0.440580146999793,,,0.326882044548233,0.412155621386903,,
04/11/2016,,0.27241224428791,,,0.381377142003074,0.375323536574454,,0
04/22/2016,130,,,,,,,
04/25/2016,,,19.8,,,,,9.19695417340739
04/26/2016,,41.0478573522174,,,3.01112394268731,2.01185714754771,,
04/28/2016,97,,21.7,,,,,
04/29/2016,0,,,,,,,
05/02/2016,0,,17.3,,,,,12.8
05/03/2016,0,32.1,,0,5.6,9.3,,
05/05/2016,150,,21.3,0,,,,
05/06/2016,,,,,,,146,
05/09/2016,125,,15.5,74,,,274,22.6
05/10/2016,69,55.9,,,,,89,
05/11/2016,,,,116,9.4,13.5,,
05/12/2016,74,,17.4,,,,,
05/13/2016,61,,,,,,,
05/16/2016,61,,4.7,,,,0,24.5
05/17/2016,0,38.9,,0,10.5,10.1,0,
05/18/2016,,,,85,,,0,
05/19/2016,0,,4.5,,,,0,
05/20/2016,,,,0,,,,
05/23/2016,0,,2.3,0,,,0,0
05/24/2016,0,113.5,,0,7.1,21.4,0,
05/25/2016,0,,,0,,,0,
05/26/2016,0,,1.9,0,,,0,
05/27/2016,0,,,0,,,0,
05/30/2016,0,,1.6,0,,,0,3.3
05/31/2016,0,13.3,,0,11.3,8.2,0,
06/01/2016,0,,,0,,,0,
06/02/2016,0,,0.7,0,,,0,
06/03/2016,0,,,116,,,0,
06/06/2016,0,,0.7,0,,,0,3.8
06/07/2016,0,4.8,,0,1.5,1.2,0,
06/08/2016,0,,,99,,,0,
06/09/2016,0,,0.4,0,,,,
06/10/2016,0,,,0,,,,
06/13/2016,0,,0.3,82,1,0.6,,13.1
06/14/2016,0,0.8,,,,,,
06/15/2016,0,,,,,,,
06/16/2016,0,,,,,,,
06/17/2016,0,,,,,,,
06/20/2016,0,,,,0,0,,0.2
06/21/2016,0,0.4,,,,,,
06/22/2016,0,,,,,,,
06/23/2016,0,,,,,,,
06/24/2016,0,,,,,,,
06/27/2016,,0.2,,,13.4,0,,0.2
07/04/2016,,,,,,,,0
07/11/2016,,,,,,,,0.3
