Date,ESP3 Roman,TOX Cutler Harbor,TOX Lubec Channel,TOX Gove Point,TOX Gleason Cove,ESP Don,TOX Bass Harbor,TOX Corea Harbor,ESP Jake
03/27/2017,,0,0,0,0,,0,0,
04/10/2017,,0,0.4,0.3,0.4,,0,0,
04/24/2017,,0.8,1.9,1,5.8,,0,0,
05/01/2017,,3.8,2.3,1.5,14.4,,0.4,0.2,
05/08/2017,,3.1,1.7,1.4,9.3,,0.4,0,
05/15/2017,,31.9,3.6,3.1,20.5,,0,0.5,
05/22/2017,,42,12.8,4.8,21.2,,0,1.2,
05/29/2017,,13.6,9.4,2.8,19.3,,1.6,1.1,
06/05/2017,,0.8,8.8,10.9,14.3,,1.7,0.9,
06/12/2017,,7,8,7,55,,2.7,0.9,
06/19/2017,,5.9,4.1,13,87.7,,2.9,0.4,
06/26/2017,,2.4,14.9,11.1,105.6,,2,0.5,
06/29/2017,,,,,,521.25489663805,,,
06/30/2017,686.911934631891,,,,,,,,
07/01/2017,,,,,,,,,9517.36241400876
07/03/2017,0,2,37.1,11.4,146.8,0,1,0.5,1655.86006825939
07/05/2017,0,,,,,0,,,277.711604095563
07/06/2017,,,,,,310.730565201162,,,8627.54846779237
07/07/2017,87.6643831847694,,,,,770.493302115499,,,1278.23321956769
07/10/2017,1259.81209420051,1.5,88.3,44.9,136.7,645.144080864749,0.7,0.7,1742.6843003413
07/11/2017,1954.41633652471,,,,,392.722625012725,,,958.183162684869
07/12/2017,403.745735666336,,,,,687.884803173059,,,0
07/13/2017,3944.11797072741,,,,,443.987927595737,,,0
07/14/2017,3672.33204027732,,,,,1514.40620133995,,,0
07/17/2017,116.097171783867,91.1,218.1,112.9,394.9,737.61937617114,2.3,1,0
07/18/2017,4.62129965885332,,,,,103.961422598244,,,0
07/19/2017,37.1457851876307,,,,,0,,,0
07/20/2017,91.5868823594146,,,,,213.8280304487,,,0
07/21/2017,48.3190271816881,,,,,385.20470680496,,,0
07/24/2017,0,43.6,73.4,61,190,283.734490052143,2,2.7,0
07/25/2017,0,,,,,100.626618859644,,,0
07/26/2017,0,,,,,127.250379854694,,,0.315130830489138
07/27/2017,0,,,,,0,,,0
07/28/2017,0,,,,,0,,,0
07/31/2017,0,45.8,37.8,32,61.3,,0.7,1,0
08/01/2017,0,,,,,0,,,
08/02/2017,0,,,,,0,,,0
08/03/2017,0,,,,,0,,,0
08/04/2017,0,,,,,0,,,0
08/07/2017,0,7.5,6.6,3.1,26.7,0,0,0,0
08/08/2017,0,,,,,0,,,0
08/09/2017,0,,,,,0,,,
08/10/2017,0,,,,,0,,,0
08/11/2017,0,,,,,0,,,0
08/14/2017,0,3.5,1.7,0,14.5,0,0,0.5,0
08/15/2017,0,,,,,,,,0
08/16/2017,0,,,,,,,,0
08/17/2017,0,,,,,0,,,0
08/18/2017,0,,,,,,,,0
08/21/2017,0,0.8,0.9,0.5,12.8,,0,0,0
08/22/2017,0,,,,,0,,,0
08/23/2017,0,,,,,,,,0
08/24/2017,0,,,,,,,,0
08/28/2017,,0,0,0,9.1,,0,0,
