Date,ESP Jake,ESP Dennis,TOX Bowdoin,TOX Lumbos Hole,TOX Bear Island,TOX Potts Point,TOX Basin Point,IFCB Bowdoin
3/12/18,,,,6.5,6.7,0.3,0.6,
3/26/18,,,,7.1,4.5,0,0.8,
4/10/18,0,,,9.1,4.7,0.6,0.7,
4/17/18,0,,5.165652526,,,,,
4/19/18,,,10.2,,,,,
4/20/18,,,5.8,,,,,
4/24/18,0,,8.497688632,14.9,11.8,1.3,2,
4/27/18,,,6.4,,,,,
5/1/18,0,0,4.550023426,40.9,35.3,1.2,1.4,
5/3/18,,0,,,,,,
5/4/18,65,0,6.234879922,,,,,0
5/7/18,142,0,,39,68.1,1.5,1.6,
5/8/18,,,6.4,,,,,429
5/9/18,196,0,,,,,,71
5/10/18,563,0,,,,,,
5/11/18,493,0,6.7,,,,,
5/14/18,194,111,,121.7,282,1.3,0.9,0
5/15/18,194,64,17.3,,,,,57
5/16/18,167,116,,,,,,57
5/17/18,323,112,,,,,,167
5/18/18,,118,6.7,,,,,763
5/21/18,0,82,,128.4,169.9,2.1,8.1,0
5/22/18,196,222,18.6,,,,,261
5/23/18,176,117,,,,,,412
5/24/18,118,80,,,,,,274
5/25/18,111,67,18.6,,,,,260
5/28/18,0,66,,88.1,106.1,2.1,2.1,
5/29/18,0,0,20,,,,,0
5/30/18,0,0,,,,,,0
5/31/18,63,0,,,,,,104
6/1/18,99,0,26.7,,,,,139
6/4/18,143,0,,60.4,33.6,3.5,2.9,210
6/5/18,172,0,21.6,,,,,
6/6/18,230,76,,,,,,
6/7/18,238,,,,,,,
6/8/18,387,0,19.1,,,,,
6/11/18,203,153,,69.3,46.5,8.2,8.1,
6/12/18,149,0,18.6,,,,,
6/13/18,89,112,,,,,,
6/14/18,0,0,,,,,,
6/15/18,0,,18.5,,,,,
6/18/18,0,0,,32.5,10.1,0.8,0.5,
6/19/18,133,0,11.9,,,,,
6/20/18,158,0,,,,,,
6/21/18,125,0,,,,,,
6/22/18,0,196,6.7,,,,,
6/25/18,0,,,4.3,0.8,0,0.4,
6/26/18,0,,7.7,,,,,
6/27/18,0,,,,,,,
6/29/18,,,5.7,,,,,
7/2/18,,,,1.8,0.6,0.4,0.2,
7/8/18,,,,1,0.7,0,0,
