Date,ESP Dennis,ESP Don,ESP Jake,ESP Roman
6/12/19,,42,,
6/13/19,,,,0
6/16/19,455,183,2692,46
6/17/19,409,1449,2069,0
6/18/19,62,443,2198,0
6/19/19,557,1119,,0
6/20/19,315,984,1943,0
6/21/19,838,2288,1825,0
6/24/19,400,722,2752,0
6/25/19,960,354,1302,47
6/26/19,1306,2701,,195
6/27/19,1375,336,2086,3325
6/28/19,0,1580,1843,2383
7/1/19,1623,1378,2740,2641
7/2/19,632,3400,2697,776
7/3/19,391,3658,1210,1063
7/5/19,6750,22254,166,1606
7/8/19,171,521,1703,357
7/9/19,1114,249,92,554
7/10/19,37,274,977,0
7/11/19,0,0,175,179
7/12/19,482,146,98,182
7/15/19,885,362,57,54
7/16/19,69,634,69,203
7/17/19,44,217,38,58
7/18/19,42,358,370,26
7/19/19,62,912,19,401
7/22/19,0,336,4,0
7/23/19,21,308,17,354
7/24/19,0,176,0,0
7/25/19,4,98,117,290
7/26/19,53,208,4,195
7/29/19,632,242,12,357
7/30/19,29,129,0,583
7/31/19,276,136,0,189
8/1/19,54,308,38,208
8/2/19,6,222,0,38
8/5/19,5,254,96,141
8/6/19,202,128,,366
8/7/19,101,310,,43
8/8/19,228,591,,523
8/9/19,0,207,,14
