Date,ESP Dennis,ESP Don,ESP Jake,ESP Roman,ESP Shorty,TOX Ogunquit River,TOX Spurwink River,TOX Basin Point,TOX Potts Point,TOX Lumbo's Hole,TOX Bear Island,TOX Head Beach,TOX Christmas Cove,TOX Port Clyde,TOX Stonington,TOX Bass Harbor,TOX Corea Harbor,TOX Ripley Point,TOX Kelley Point,TOX Cutler Harbor,TOX Lubec Channel,TOX Gove Point,TOX Gleason Cove,TOX GC_GPt_LC,TOX Jonesport214,TOX Jonesport255,TOX Jonesport36,TOX Cross Island,TOX ROSS Island Mya-Grand Manan,TOX Bancroft Point-Grand Manan
3/25/19,,,,,,0,0,0,0.1,0.2,0.5,0.2,0,0,,,,,,,,,,,,,,,,
4/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/19,,,,,,0,0,0,0.2,8.7,9.1,0,0,0,,,,,,,,,,,,,,,,
4/13/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/19,,,,,,0,0.4,0.3,0.3,4.5,14.1,0.5,0.3,0,0.2,2,0,0,0,3.3,0.2,0.2,0.2,0.2,,,,,,
4/28/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/19,,,,,,1.4,23.7,1.3,1.8,60.9,40.8,1.4,1.6,0.6,,,,,,,,,,,,,,,,
5/2/19,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/19,,,,,,63.9,107.9,2.8,3.2,191.1,99.8,2.7,85.8,1,0,0,0,0,0,0.6,0.5,0.7,1.2,0.8,,,,,,
5/7/19,,,,,201.9,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/19,,,,,122.4,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/19,,,,,1206.6,57.2,138.5,43.3,7,440.1,161.3,43.8,50,1,0,0.5,0,0,0.4,0.4,0.7,1.2,5.3,2.4,,,,,27,36
5/14/19,,,,,1957.9,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/19,,,,,1058.8,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/19,,,,,914.6,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/19,,,,,997.9,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/19,,,,,544.2,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/19,,,,,714.5,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/19,,,,,327.0,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/19,,,,,713.0,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/19,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/19,,,,,961.0,,,,,,,,,,,,,,,,,,,,,,,,27,41
5/19/19,,,,,922.4,,,,,,,,,,,,,,,,,,,,,,,,,
